N,method,evals,best_E,best_F
44,tabu,6836998,138,7.014493
44,tabu,16112585,130,7.446154
44,tabu,32887729,126,7.682540
44,final,60000014,126,7.682540
45,tabu,1,1122,0.902406
45,tabu,46,706,1.434136
45,tabu,91,482,2.100622
45,tabu,136,406,2.493842
45,tabu,181,350,2.892857
45,tabu,226,346,2.926301
45,tabu,271,318,3.183962
45,tabu,316,298,3.397651
45,tabu,496,270,3.750000
45,tabu,631,266,3.806391
45,tabu,676,238,4.254202
45,tabu,1801,234,4.326923
45,tabu,1981,202,5.012376
45,tabu,27721,186,5.443548
45,tabu,58456,170,5.955882
45,tabu,116596,146,6.934932
45,tabu,563360,138,7.336957
45,tabu,8262023,134,7.555970
45,tabu,46354386,126,8.035714
45,tabu_skew,60104703,118,8.580508
45,final,78000049,118,8.580508
46,tabu,1,1259,0.840349
46,tabu,47,891,1.187430
46,tabu,93,611,1.731588
46,tabu,139,483,2.190476
46,tabu,185,411,2.574209
46,tabu,231,371,2.851752
46,tabu,277,323,3.275542
46,tabu,369,307,3.446254
46,tabu,415,275,3.847273
46,tabu,507,267,3.962547
46,tabu,875,259,4.084942
46,tabu,967,251,4.215139
46,tabu,1013,243,4.353909
46,tabu,2485,235,4.502128
46,tabu,2531,219,4.831050
46,tabu,3543,203,5.211823
46,tabu,62975,155,6.825806
46,tabu,100281,147,7.197279
46,tabu,7942285,131,8.076336
46,final,60000020,131,8.076336
47,tabu,1,847,1.304014
47,tabu,48,595,1.856303
47,tabu,95,459,2.406318
47,tabu,142,423,2.611111
47,tabu,189,367,3.009537
47,tabu,236,323,3.419505
47,tabu,377,303,3.645215
47,tabu,659,299,3.693980
47,tabu,706,291,3.795533
47,tabu,1082,279,3.958781
47,tabu,1458,271,4.075646
47,tabu,1505,259,4.264479
47,tabu,1693,255,4.331373
47,tabu,4748,239,4.621339
47,tabu,9025,219,5.043379
47,tabu,10482,215,5.137209
47,tabu,39340,203,5.440887
47,tabu,146124,199,5.550251
47,tabu,409749,183,6.035519
47,tabu,639110,171,6.459064
47,tabu,7070216,167,6.613772
47,tabu,16328956,155,7.125806
47,tabu,34382967,135,8.181481
47,final,78000042,135,8.181481
48,tabu,1,808,1.425743
48,tabu,49,668,1.724551
48,tabu,97,568,2.028169
48,tabu,145,452,2.548673
48,tabu,193,408,2.823529
48,tabu,337,380,3.031579
48,tabu,481,328,3.512195
48,tabu,529,316,3.645570
48,tabu,673,312,3.692308
48,tabu,721,292,3.945205
48,tabu,865,288,4.000000
48,tabu,1009,284,4.056338
48,tabu,2545,276,4.173913
48,tabu,6817,272,4.235294
48,tabu,7921,268,4.298507
48,tabu,8881,260,4.430769
48,tabu,12097,256,4.500000
48,tabu,12145,228,5.052632
48,tabu,17761,208,5.538462
48,tabu,255458,204,5.647059
48,tabu,1457243,184,6.260870
48,tabu,1583339,164,7.024390
48,tabu,32144536,160,7.200000
48,final,60000001,160,7.200000
49,tabu,1,924,1.299242
49,tabu,50,740,1.622297
49,tabu,99,556,2.159173
49,tabu,148,436,2.753440
49,tabu,197,372,3.227151
49,tabu,344,368,3.262228
